method,name,seed,eer_pct,auc
softmax,E0: CNN + Softmax,1,1.1153780855041766,0.9991798909312574
softmax,E0: CNN + Softmax,2,1.0011950303944588,0.9992064887289263
softmax,E0: CNN + Softmax,3,1.069805480555341,0.9991699647348918
softmax,E0: CNN + Softmax,4,1.0092588544778422,0.9991937609199293
softmax,E0: CNN + Softmax,5,1.1254137733469258,0.9990645136399664
triplet,E_T: CNN + Triplet,1,0.9386620840784199,0.9992701952930353
triplet,E_T: CNN + Triplet,2,1.0185919574327238,0.9991926121203005
triplet,E_T: CNN + Triplet,3,1.1334775974303095,0.9991128171931951
triplet,E_T: CNN + Triplet,4,1.039756242943795,0.999173013274404
triplet,E_T: CNN + Triplet,5,0.9562295975709411,0.9993032943173545
supcon_only,E_SC: CNN + SupCon (standalone),1,2.148970085728077,0.9976664290910018
supcon_only,E_SC: CNN + SupCon (standalone),2,2.1514190133001923,0.9976194059965156
supcon_only,E_SC: CNN + SupCon (standalone),3,2.1046378466923907,0.9976930114870125
supcon_only,E_SC: CNN + SupCon (standalone),4,2.158950838949964,0.9976137219557034
supcon_only,E_SC: CNN + SupCon (standalone),5,2.2982274506103053,0.9972943944147662
