source,protocol,eer_pct,eer_std_pct,auc,auc_std,notes
submitted_paper_table_v,Random split,1.54,,0.9986,,Within-distribution random split; optimistic biometric estimate.
submitted_paper_table_v,Baseline-to-task,3.76,0.21,0.9931,0.0007,Primary deployment-realistic protocol.
submitted_paper_table_v,Hybrid upper bound,0.87,0.19,0.9991,,Upper-bound protocol reported in submitted manuscript.
