auc,eer,threshold,far,frr,attack,amplitude,genuine_score_drop,impostor_score_rise
0.994696171353942,0.03333061744277912,0.4664892852306366,0.03332041116848213,0.03333062708043192,LINE_NOISE_50HZ,0.005,3.5762786865234375e-07,1.8700957298278809e-06
0.994695619136415,0.033336862641782386,0.4664892852306366,0.03332964403984807,0.03333687227943519,LINE_NOISE_50HZ,0.01,8.940696716308594e-07,1.2420117855072021e-05
0.9946896144498224,0.033393088708117385,0.4664892852306366,0.033435735321681335,0.03335560787644498,LINE_NOISE_50HZ,0.03,3.141164779663086e-05,0.00013723224401474
0.9946732607800133,0.0335179830505299,0.4664892852306366,0.03361871579741592,0.03345553106049724,LINE_NOISE_50HZ,0.05,0.00023370981216430664,0.0003724098205566406
