attack,epsilon,alpha,steps,threshold,auc,eer,far,frr,attack_success_rate,mean_impostor_score_before,mean_impostor_score_after,genuine_score_drop,impostor_score_rise
PGD,0.002,0.002,7,0.4664892852306366,0.9905142190604167,0.045662308667052495,0.07159722222222223,0.033318136682425385,0.07159722222222223,0.16812243722946732,0.20341139253144824,0.0,0.03528895530198092
PGD,0.005,0.002,7,0.4664892852306366,0.9852138721526229,0.05914254745874177,0.12807291666666668,0.033318136682425385,0.12807291666666668,0.16812243722946732,0.2562015798829614,0.0,0.08807914265349406
PGD,0.01,0.002,7,0.4664892852306366,0.9701313897710233,0.08969364664195649,0.2649826388888889,0.033318136682425385,0.2649826388888889,0.16812243722946732,0.3422410407579446,0.0,0.17411860352847727
