seed,avg_auc,avg_eer
1,0.9925152283240938,0.03690842598651415
2,0.9930505330089509,0.0380712136514509
3,0.9925536514343993,0.04011248365328216
4,0.9942639395744918,0.03445172089709971
5,0.9930738317594078,0.038682760320159285
