channel,ig_baseline,ig_task,occlusion_eer_degradation,occlusion_eer_occluded,combined_rank
Cp1,6.804397e-05,8.374825e-05,5.8465486078237285,11.23925922738162,0.9999999965745558
Cp3,3.762645e-05,5.01286e-05,1.3528173458994965,6.745527965457388,0.4507782069355236
C2,2.447187e-05,3.1520805e-05,3.589282896529956,8.981993516087847,0.43717912741783665
Cz,3.0029923e-05,3.798354e-05,1.5228048658031001,6.9155154853609915,0.37265538740339144
Fp1,1.7171309e-05,2.3910532e-05,2.272686520061396,7.665397139619287,0.29353578176316925
Cp2,9.90093e-06,1.8614894e-05,3.189955674140376,8.582666293698267,0.28807423851522623
Fc1,9.404692e-06,9.798737e-06,3.535937656897759,8.92864827645565,0.26943321778923346
T9,1.9948258e-05,1.6138863e-05,2.0913127053119265,7.484023324869818,0.26529123782957564
Tp7,1.760536e-05,2.1072e-05,1.67934400596749,7.072054625525381,0.24996369027676213
F5,1.4595366e-05,1.3624023e-05,2.2271413406779406,7.619851960235832,0.2358801987627282
Fc3,1.7100892e-05,1.5429841e-05,1.8398280041887212,7.2325386237466125,0.233586068796134
Af4,1.7480175e-05,2.2573133e-05,1.2537476151539897,6.646458234711881,0.23097875641458057
P3,1.3182717e-05,1.539642e-05,2.026670826698796,7.419381446256687,0.22448076796346436
P4,1.4250326e-05,1.8136468e-05,1.5561568475563385,6.94886746711423,0.21398132358088878
Af7,7.6483475e-06,1.4757066e-05,2.328183500451864,7.720894120009755,0.21136190145354095
Iz,8.448258e-06,1.3851237e-05,2.245879416447905,7.638590036005796,0.20694685787153924
T7,1.7758639e-05,1.8082284e-05,1.0982843453687359,6.490994964926627,0.2050669884336632
Afz,1.1530107e-05,1.4307851e-05,1.8771248439987946,7.269835463556686,0.2031038863327061
Po4,9.832015e-06,8.444567e-06,2.3612665146103167,7.753977134168208,0.1984411277471772
Cp4,1.139745e-05,1.1968539e-05,1.9236562378964566,7.316366857454348,0.19554711575730396
F6,6.3336165e-06,9.065655e-06,2.5691784653784913,7.961889084936383,0.19533802976891357
C6,1.5140238e-05,2.0252714e-05,0.9449728163417497,6.337683435899641,0.19194042011683377
Po8,8.697404e-06,9.111191e-06,2.174692659695027,7.567403279252918,0.1847186938454788
Oz,1.0413826e-05,1.1222999e-05,1.8167864469022108,7.209497066460102,0.18139651268572393
Cp5,9.1327465e-06,1.6860906e-05,1.4416663080432075,6.834376927601099,0.17641655055734654
F3,1.3412113e-05,1.866909e-05,0.7884336761773598,6.181144295735251,0.1677563554318982
Ft7,4.0957802e-06,5.0015356e-06,2.534481645651332,7.927192265209223,0.16545623300460072
Af3,1.2202687e-05,1.29422315e-05,1.2061403508771917,6.598850970435083,0.16228770497154207
F2,3.6710946e-06,5.6202352e-06,2.4434809427493462,7.836191562307238,0.16061160964127416
F1,1.7019816e-05,1.1874634e-05,0.6686534406334674,6.061364060191359,0.15123468834895742
Pz,7.9774045e-06,1.1395925e-05,1.4323420980906887,6.82505271764858,0.14771457681650038
Poz,8.716301e-06,8.868577e-06,1.5200255339903297,6.912736153548221,0.14614408411542915
Fcz,1.41915125e-05,1.6394039e-05,0.3794236203755492,5.7721342399334405,0.13883575252100774
Fc5,8.654289e-06,1.0724072e-05,1.2171680222633423,6.609878641821234,0.13599021708904768
C5,1.31234665e-05,1.4048031e-05,0.42299637073058616,5.8157069902884775,0.1263731211688105
Po3,6.98492e-06,1.0023562e-05,1.1000774626672971,6.492788082225188,0.11798390881800337
Fz,1.5066686e-05,1.3487513e-05,0.0006275910544966123,5.393338210612388,0.10955357831826108
Fc6,6.2388744e-06,8.61176e-06,1.0980153777739519,6.490725997331843,0.10833624599218435
O2,9.050955e-06,1.2803208e-05,0.5049418312748317,5.897652450832723,0.10549965146425182
Cpz,8.626131e-06,9.819354e-06,0.7497919983933663,6.142502617951258,0.10524998597049748
Tp8,6.2536133e-06,9.771436e-06,0.9582418843511027,6.350952503908994,0.10510887457877835
Po7,4.296176e-06,4.107274e-06,1.5129427206610133,6.905653340218905,0.10401588625817497
O1,5.877713e-06,6.916963e-06,1.137553614207227,6.530264233765118,0.10186270521714333
C4,4.901128e-06,9.997955e-06,0.9987663352985843,6.391476954856476,0.10155989785904533
F4,8.434002e-06,1.1573777e-05,0.5215281662865223,5.914238785844414,0.09832086083308489
C3,7.994523e-06,8.573929e-06,0.7647645278363528,6.157475147394244,0.0978391432271325
Ft8,6.759329e-06,6.5408303e-06,0.9718695758201674,6.364580195378059,0.09522651325242479
Fc2,6.7374867e-06,1.1298158e-05,0.5320179024831058,5.924728522040997,0.08925809793842772
Fp2,1.0525924e-06,7.569717e-06,1.2603821491586666,6.653092768716558,0.08731443358676534
Cp6,6.6690973e-06,7.313658e-06,0.7804543041987619,6.173164923756653,0.08691659223052287
P8,8.892956e-07,1.3922781e-06,1.6079779374847565,7.000688557042648,0.08123363519293116
P2,8.950402e-06,1.2436572e-05,0.05854527979802171,5.451255899355913,0.0778030077241769
T8,1.0179562e-05,1.1020768e-05,0.05092453127913732,5.443635150837029,0.07776112406716358
Fpz,6.7923274e-06,9.551039e-06,0.30949204573166433,5.702202665289556,0.06958213311756216
Fc4,6.1359174e-06,6.83363e-06,0.504852175409904,5.897562794967795,0.06640821063924335
P7,7.920385e-06,5.0797216e-06,0.4302584957897597,5.822969115347651,0.0639242418810235
P1,5.9026943e-06,4.930331e-06,0.48028646841961553,5.872997087977507,0.056036608242077
T10,7.695797e-06,8.089671e-06,-0.10534564129047475,5.287364978267417,0.04427833792061665
P6,2.6709388e-06,6.5731556e-06,0.38883748619299574,5.781548105750887,0.041225353741565586
P5,5.3283934e-06,5.134063e-06,0.23176041083903165,5.624471030396923,0.03967589373369222
C1,5.258091e-06,9.29994e-06,-0.10498701783076214,5.287723601727129,0.03697859111538074
F8,2.2572679e-06,1.5543949e-06,0.33083014158454205,5.723540761142433,0.015279600633621635
Af8,0.0,0.0,0.6374531996385029,6.030163819196394,0.015207660222065881
F7,1.4127548e-06,1.531165e-06,0.14084936380198076,5.533559983359872,0.0
